date,CPI Prediction,CPI Prediction MoM,Forecasted CPI MoM
2010-01-15,217.97924459613316,0.00227211268441585,0.001
2010-02-19,217.2750885758698,-0.0032303810464523464,0.002
2010-03-18,217.77405437313092,0.002296470343340351,0.001
2010-04-14,217.76579873244006,-3.790920233648354e-05,0.001
2010-05-19,217.1127813271291,-0.0029987142568391745,0.001
2010-06-17,217.41685173318044,0.0014005182200358401,0.001
2010-07-16,217.94905670772744,0.002447855215933936,0.001
2010-08-13,218.10197539977418,0.0007016258494378924,0.001
2010-09-17,218.21240375746382,0.0005063152568298701,0.001
2010-10-15,219.40221355974035,0.005452530570164038,0.001
2010-11-17,219.9299778477515,0.002405464737334828,0.001
2010-12-15,220.95475100980997,0.004659542878542311,0.001
2011-01-14,221.31171614138898,0.0016155576195922006,0.001
2011-02-17,221.9676706889679,0.0029639395465166363,0.001
2011-03-17,223.44780865896647,0.006668259235249607,0.001
2011-04-15,224.54007296083688,0.0048882300901749165,0.002
2011-05-13,224.80180070326,0.0011656170721419112,0.002
2011-06-15,224.66182646984515,-0.000622656193041915,0.002
2011-07-15,225.53126974509289,0.003870008932578717,0.002
2011-08-18,225.7185257634468,0.0008302884942099631,0.002
2011-09-15,226.2662709204424,0.002426673464851703,0.002
2011-10-19,226.64847702290118,0.0016891872611148884,0.002
2011-11-16,227.13894211457142,0.002163990237713742,0.001
2011-12-16,227.08727832291308,-0.00022745457550066295,0.002
2012-01-19,227.82715721092632,0.0032581256575772155,0.001
2012-02-17,228.2770093814361,0.001974532694068998,0.003
2012-03-16,228.80475414950837,0.002311861231677703,0.002
2012-04-13,228.72219937627685,-0.0003608088194599901,0.002
2012-05-15,227.911340029488,-0.0035451711683432974,0.002
2012-06-14,227.66519838253345,-0.0010799885908384654,0.002
2012-07-17,228.41316271248783,0.0032853696360637397,0.002
2012-08-15,230.10672226913692,0.0074144569276894945,0.002
2012-09-14,231.02986106922438,0.00401178544887415,0.002
2012-10-16,231.1417023844944,0.00048409895912326917,0.002
2012-11-15,230.70455703056686,-0.0018912439833136396,0.001
2012-12-14,231.1948807453823,0.0021253317278449035,0.002
2013-01-16,231.65523411055435,0.0019911918624142544,0.002
2013-02-21,233.10053330871102,0.006239009464672485,0.002
2013-03-15,231.60337851646696,-0.006422785786857399,0.002
2013-04-16,231.1493403475036,-0.0019604125461023525,0.002
2013-05-16,231.86862783885041,0.0031117869091275008,0.002
2013-06-18,232.35727298859427,0.0021074224413122344,0.002
2013-07-16,232.85507228182152,0.0021423873968933194,0.002
2013-08-15,233.44851283434923,0.0025485403719678335,0.002
2013-09-17,233.09141796957192,-0.0015296514869241884,0.001
2013-10-30,233.1663686799317,0.00032155070749784187,0.002
2013-11-20,233.6764151969706,0.002187478922996089,0.001
2013-12-17,234.8437407142699,0.004995478539481013,0.001
2014-01-16,235.61799264727236,0.00269971002730518,0.001
2014-02-20,235.53205959669722,-0.00036471344827970764,0.001
2014-03-18,236.42315241079172,0.003783318566569216,0.001
2014-04-15,236.2668496402661,-0.0006611144844818062,0.001
2014-05-15,237.09825916084625,0.003518942762584132,0.001
2014-06-17,236.7444560588759,-0.0014922214242422127,0.002
2014-07-22,236.59358811616048,-0.0006372607208081638,0.002
2014-08-19,236.55615678007453,-0.00015820942733058008,0.002
2014-09-17,236.2788853042923,-0.001172116927990241,0.002
2014-10-22,235.57170780147615,-0.0029929779883014485,0.002
2014-11-20,234.59259204827214,-0.004156338476898669,0.002
2014-12-17,232.93529225629706,-0.007064587067753814,0.001
2015-01-16,234.23707723377555,0.005588612034135743,0.001
2015-02-26,234.45655657811326,0.000936996597334927,0.001
2015-03-24,235.33019223369482,0.0037262155016359877,0.001
2015-04-17,236.1476958126153,0.003473857609008535,0.002
2015-05-22,236.68221114515228,0.0022634789244826425,0.002
2015-06-18,236.63735022764584,-0.0001895407233580837,0.002
2015-07-17,236.4954257999825,-0.0005997549732821295,0.002
2015-08-19,236.4571388380737,-0.00016189303357272422,0.002
2015-09-16,236.46591691723054,3.712334167627063e-05,0.001
2015-10-15,236.46298854125968,-1.2383924114955924e-05,0.001
2015-11-17,236.15442703344462,-0.0013049040347437035,0.002
2015-12-15,235.88822907844934,-0.0011272198380493093,0.002
2016-01-20,235.58341057378257,-0.0012922158339888634,0.002
2016-02-19,237.18502698427753,0.006798511009727282,0.002
2016-03-16,238.234287301164,0.004423805036209094,0.002
2016-04-14,238.87698479232344,0.0026977539565788966,0.002
